# Time;5 Sec;10 Sec;15 Sec
0:00:00;0;0;0
0:00:30;21;12;14
0:01:00;29;24;24
0:01:30;39;27;31
0:02:00;41;28;35
0:02:30;45;29;35
0:03:00;56;34;41
0:03:30;60;32;43
0:04:00;63;33;49
0:04:30;71;39;61
0:05:00;82;47;67
0:05:30;92;52;77
0:06:00;93;52;76
0:06:30;96;56;77
0:07:00;96;62;79
0:07:30;96;64;79
0:08:00;95;72;78
0:08:30;92;75;75
0:09:00;89;77;73
0:09:30;95;81;78
0:10:00;95;83;73
0:10:30;93;93;72
0:11:00;92;94;69
0:11:30;86;93;62
0:12:00;80;87;54
0:12:30;73;81;47
0:13:00;65;74;40
0:13:30;59;66;34
0:14:00;60;57;32
0:14:30;56;52;24
0:15:00;49;45;17
0:15:30;41;39;11
0:16:00;34;33;7
0:16:30;28;25;7
0:17:00;21;18;7
0:17:30;14;12;7
0:18:00;8;8;7
0:18:30;7;7;7
0:19:00;7;7;7
0:19:30;8;8;7
0:20:00;10;8;10
0:20:30;8;9;9
0:21:00;7;8;7
0:21:30;8;8;7
0:22:00;10;9;9
0:22:30;21;10;17
0:23:00;21;9;17
0:23:30;19;8;16
0:24:00;16;7;9
0:24:30;12;8;7
0:25:00;8;8;10
0:25:30;8;9;8
0:26:00;9;8;8
0:26:30;8;9;8
0:27:00;8;8;7
0:27:30;9;9;7
0:28:00;8;8;7
0:28:30;9;10;9
0:29:00;12;10;11
0:29:30;13;10;18
0:30:00;15;12;24
0:30:30;15;12;21
0:31:00;11;8;20
0:31:30;13;7;23
0:32:00;10;7;23
0:32:30;10;8;34
0:33:00;11;8;38
0:33:30;16;13;36
0:34:00;15;12;45
0:34:30;17;11;50
0:35:00;10;9;52
0:35:30;8;9;56
0:36:00;9;9;62
0:36:30;11;10;66
0:37:00;11;8;65
0:37:30;9;9;66
0:38:00;9;8;69
0:38:30;10;10;66
0:39:00;8;8;65
0:39:30;8;9;74
0:40:00;8;9;83
0:40:30;9;8;86
0:41:00;9;9;84
0:41:30;8;12;87
0:42:00;8;16;87
0:42:30;7;17;88
0:43:00;7;11;85
0:43:30;8;10;93
0:44:00;8;17;102
0:44:30;8;26;105
0:45:00;8;32;101
0:45:30;9;41;95
0:46:00;8;42;91
0:46:30;9;46;84
0:47:00;9;50;79
0:47:30;13;50;87
0:48:00;9;51;91
0:48:30;8;49;89
0:49:00;8;47;84
0:49:30;8;48;79
0:50:00;8;52;72
0:50:30;8;54;74
0:51:00;8;56;83
0:51:30;18;65;84
0:52:00;22;71;86
0:52:30;29;82;88
0:53:00;38;82;90
0:53:30;40;77;86
0:54:00;41;74;82
0:54:30;45;71;76
0:55:00;50;69;70
0:55:30;51;66;65
0:56:00;51;62;59
0:56:30;52;65;55
0:57:00;48;59;47
0:57:30;47;58;43
0:58:00;52;56;43
0:58:30;61;59;45
0:59:00;64;60;47
0:59:30;60;65;49
1:00:00;58;68;46
