# Time;0.7;0.07;0.007
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;5;8;12
0:05:00;5;8;12
0:05:30;6;15;21
0:06:00;6;15;21
0:06:30;8;24;24
0:07:00;8;24;24
0:07:30;8;24;24
0:08:00;8;24;24
0:08:30;8;24;24
0:09:00;8;24;24
0:09:30;12;24;24
0:10:00;12;24;24
0:10:30;17;24;24
0:11:00;17;24;24
0:11:30;17;24;24
0:12:00;17;24;24
0:12:30;17;24;24
0:13:00;17;24;24
0:13:30;17;24;24
0:14:00;17;24;24
0:14:30;19;24;24
0:15:00;19;24;24
0:15:30;20;24;24
0:16:00;20;24;24
0:16:30;20;24;24
0:17:00;20;24;24
0:17:30;21;24;24
0:18:00;21;24;24
0:18:30;21;24;24
0:19:00;21;24;24
0:19:30;20;24;24
0:20:00;20;24;24
0:20:30;20;24;24
0:21:00;20;24;24
0:21:30;20;24;24
0:22:00;20;24;24
0:22:30;19;23;23
0:23:00;19;23;23
0:23:30;18;22;22
0:24:00;18;22;22
0:24:30;17;21;21
0:25:00;17;21;21
0:25:30;18;21;21
0:26:00;18;21;21
0:26:30;19;21;21
0:27:00;19;21;21
0:27:30;20;21;21
0:28:00;20;21;21
0:28:30;19;20;20
0:29:00;19;20;20
0:29:30;18;19;20
0:30:00;18;19;20
0:30:30;19;19;20
0:31:00;19;19;20
0:31:30;18;18;19
0:32:00;18;18;19
0:32:30;17;17;18
0:33:00;17;17;18
0:33:30;16;16;17
0:34:00;16;16;17
0:34:30;15;15;16
0:35:00;15;15;16
0:35:30;14;14;15
0:36:00;14;14;15
0:36:30;13;13;14
0:37:00;13;13;14
0:37:30;12;13;14
0:38:00;12;13;14
0:38:30;11;13;14
0:39:00;11;13;14
0:39:30;10;13;14
0:40:00;10;13;14
0:40:30;9;12;13
0:41:00;9;12;13
0:41:30;8;11;12
0:42:00;8;11;12
0:42:30;7;11;12
0:43:00;7;11;12
0:43:30;6;11;12
0:44:00;6;11;12
0:44:30;5;11;12
0:45:00;5;11;12
0:45:30;4;10;11
0:46:00;4;10;11
0:46:30;4;9;10
0:47:00;4;9;10
0:47:30;4;8;9
0:48:00;4;8;9
0:48:30;4;7;8
0:49:00;4;7;8
0:49:30;4;8;8
0:50:00;4;8;8
0:50:30;4;8;8
0:51:00;4;8;8
0:51:30;6;8;8
0:52:00;6;8;8
0:52:30;10;8;8
0:53:00;10;8;8
0:53:30;10;8;8
0:54:00;10;8;8
0:54:30;10;13;12
0:55:00;10;13;12
0:55:30;10;13;12
0:56:00;10;13;12
0:56:30;9;13;12
0:57:00;9;13;12
0:57:30;11;15;15
0:58:00;11;15;15
0:58:30;13;16;18
0:59:00;13;16;18
0:59:30;16;16;18
1:00:00;16;16;18
