# Time;1 Min;2 Min;3 Min
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;4;4;4
0:05:00;4;4;4
0:05:30;4;4;4
0:06:00;4;4;4
0:06:30;4;4;4
0:07:00;4;4;4
0:07:30;4;4;4
0:08:00;4;4;4
0:08:30;4;4;4
0:09:00;4;4;4
0:09:30;4;4;4
0:10:00;4;4;4
0:10:30;4;4;4
0:11:00;4;4;4
0:11:30;5;4;4
0:12:00;5;4;4
0:12:30;5;4;5
0:13:00;5;4;5
0:13:30;5;4;5
0:14:00;5;4;5
0:14:30;5;4;5
0:15:00;5;4;5
0:15:30;5;4;5
0:16:00;5;4;5
0:16:30;10;5;5
0:17:00;10;5;5
0:17:30;10;5;5
0:18:00;10;5;5
0:18:30;10;5;5
0:19:00;10;5;5
0:19:30;10;5;5
0:20:00;10;5;5
0:20:30;12;8;5
0:21:00;12;8;5
0:21:30;15;8;8
0:22:00;15;8;8
0:22:30;19;8;8
0:23:00;19;8;8
0:23:30;23;8;8
0:24:00;23;8;8
0:24:30;24;8;8
0:25:00;24;8;8
0:25:30;23;8;8
0:26:00;23;8;8
0:26:30;23;8;8
0:27:00;23;8;8
0:27:30;24;8;15
0:28:00;24;8;15
0:28:30;24;15;15
0:29:00;24;15;15
0:29:30;23;15;15
0:30:00;23;15;15
0:30:30;24;15;20
0:31:00;24;15;20
0:31:30;24;15;20
0:32:00;24;15;20
0:32:30;24;21;20
0:33:00;24;21;20
0:33:30;23;21;20
0:34:00;23;21;20
0:34:30;24;21;20
0:35:00;24;21;20
0:35:30;24;21;20
0:36:00;24;21;20
0:36:30;24;24;21
0:37:00;24;24;21
0:37:30;23;24;21
0:38:00;23;24;21
0:38:30;22;24;21
0:39:00;22;24;21
0:39:30;22;24;22
0:40:00;22;24;22
0:40:30;22;24;22
0:41:00;22;24;22
0:41:30;21;24;22
0:42:00;21;24;22
0:42:30;22;24;22
0:43:00;22;24;22
0:43:30;21;24;22
0:44:00;21;24;22
0:44:30;20;23;22
0:45:00;20;23;22
0:45:30;19;23;21
0:46:00;19;23;21
0:46:30;18;22;21
0:47:00;18;22;21
0:47:30;18;22;21
0:48:00;18;22;21
0:48:30;18;22;21
0:49:00;18;22;21
0:49:30;17;22;21
0:50:00;17;22;21
0:50:30;16;21;21
0:51:00;16;21;21
0:51:30;15;21;20
0:52:00;15;21;20
0:52:30;14;21;20
0:53:00;14;21;20
0:53:30;13;21;20
0:54:00;13;21;20
0:54:30;12;20;19
0:55:00;12;20;19
0:55:30;13;20;19
0:56:00;13;20;19
0:56:30;12;21;19
0:57:00;12;21;19
0:57:30;11;21;18
0:58:00;11;21;18
0:58:30;10;22;18
0:59:00;10;22;18
0:59:30;9;22;18
1:00:00;9;22;18
