# Time;1 Min;2 Min;3 Min
0:00:00;0;0;0
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;5;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;4;4;5
0:05:00;10;6;8
0:05:30;9;10;8
0:06:00;9;8;9
0:06:30;11;10;16
0:07:00;13;12;17
0:07:30;14;9;17
0:08:00;16;9;18
0:08:30;24;10;19
0:09:00;29;15;21
0:09:30;36;15;23
0:10:00;37;17;21
0:10:30;41;13;26
0:11:00;40;9;25
0:11:30;48;11;28
0:12:00;51;16;35
0:12:30;57;20;44
0:13:00;59;23;50
0:13:30;62;28;59
0:14:00;68;37;57
0:14:30;76;36;58
0:15:00;86;33;61
0:15:30;87;34;60
0:16:00;90;39;60
0:16:30;104;49;61
0:17:00;102;55;64
0:17:30;96;59;61
0:18:00;89;61;63
0:18:30;81;64;66
0:19:00;73;60;61
0:19:30;63;63;59
0:20:00;56;66;58
0:20:30;59;74;63
0:21:00;61;81;65
0:21:30;68;87;74
0:22:00;69;92;82
0:22:30;74;102;88
0:23:00;74;104;88
0:23:30;79;104;89
0:24:00;75;107;92
0:24:30;72;106;94
0:25:00;68;106;92
0:25:30;64;106;92
0:26:00;59;103;93
0:26:30;55;100;97
0:27:00;60;102;100
0:27:30;58;104;107
0:28:00;59;110;104
0:28:30;61;117;97
0:29:00;58;116;92
0:29:30;57;112;90
0:30:00;53;110;86
0:30:30;54;104;89
0:31:00;54;103;85
0:31:30;51;102;88
0:32:00;48;97;81
0:32:30;46;99;75
0:33:00;42;96;70
0:33:30;41;91;64
0:34:00;37;87;57
0:34:30;36;86;53
0:35:00;32;84;49
0:35:30;25;77;43
0:36:00;17;76;42
0:36:30;15;72;41
0:37:00;16;71;40
0:37:30;16;71;37
0:38:00;13;66;33
0:38:30;13;61;31
0:39:00;9;56;27
0:39:30;8;49;25
0:40:00;8;43;21
0:40:30;8;37;16
0:41:00;7;30;11
0:41:30;8;24;8
0:42:00;8;17;8
0:42:30;8;11;8
0:43:00;9;7;8
0:43:30;16;7;8
0:44:00;11;8;8
0:44:30;8;19;10
0:45:00;10;14;8
0:45:30;17;12;14
0:46:00;17;11;11
0:46:30;16;15;7
0:47:00;10;13;8
0:47:30;7;8;7
0:48:00;7;8;7
0:48:30;8;9;8
0:49:00;8;8;8
0:49:30;7;8;7
0:50:00;7;8;7
0:50:30;8;8;7
0:51:00;7;7;6
0:51:30;7;7;6
0:52:00;7;7;6
0:52:30;7;7;6
0:53:00;9;9;8
0:53:30;14;7;7
0:54:00;10;7;7
0:54:30;8;7;7
0:55:00;8;8;9
0:55:30;11;8;11
0:56:00;11;14;7
0:56:30;7;20;9
0:57:00;7;17;7
0:57:30;8;13;7
0:58:00;7;10;8
0:58:30;7;8;11
0:59:00;7;8;8
0:59:30;7;9;10
1:00:00;7;7;9
