# Index;10th;Min;Max;90th;Average;Name
1;17,4;4;368;344,5;169,7583333;Static 4
2;10,9;4;96;89;56,79166667;Static 8
3;6;4;11;9;7,533333333;Static 12
4;6;4;14;10;8,041666667;Static 24
5;7;4;104;74;32,48333333;Q-Learning
6;6;4;39;27,2;11,1;Spark
7;6;4;54;28,4;11,65833333;OPO
