# Time;5 Min;10 Min;20 Min
0:00:00;0;0;0
0:00:30;4;5;4
0:01:00;4;5;4
0:01:30;4;6;5
0:02:00;5;5;5
0:02:30;4;6;5
0:03:00;4;5;4
0:03:30;5;5;6
0:04:00;4;4;4
0:04:30;4;5;7
0:05:00;11;10;9
0:05:30;9;14;9
0:06:00;14;18;8
0:06:30;17;27;12
0:07:00;24;30;18
0:07:30;25;35;22
0:08:00;28;43;29
0:08:30;24;43;31
0:09:00;23;44;36
0:09:30;29;42;38
0:10:00;36;39;49
0:10:30;38;48;59
0:11:00;33;52;59
0:11:30;30;59;69
0:12:00;28;59;73
0:12:30;27;60;75
0:13:00;31;58;73
0:13:30;36;59;69
0:14:00;37;60;69
0:14:30;39;57;67
0:15:00;41;57;63
0:15:30;38;65;59
0:16:00;35;64;55
0:16:30;34;64;52
0:17:00;38;67;49
0:17:30;38;73;49
0:18:00;45;80;46
0:18:30;50;85;45
0:19:00;53;84;40
0:19:30;49;85;34
0:20:00;49;89;33
0:20:30;50;86;29
0:21:00;52;86;23
0:21:30;59;86;18
0:22:00;62;94;19
0:22:30;68;102;16
0:23:00;68;103;13
0:23:30;67;107;9
0:24:00;66;103;7
0:24:30;67;99;7
0:25:00;68;96;8
0:25:30;70;93;10
0:26:00;75;96;10
0:26:30;72;99;9
0:27:00;73;104;8
0:27:30;76;102;9
0:28:00;82;102;8
0:28:30;99;104;7
0:29:00;99;102;8
0:29:30;97;107;10
0:30:00;95;111;7
0:30:30;92;109;15
0:31:00;88;106;19
0:31:30;85;109;23
0:32:00;82;111;23
0:32:30;85;110;21
0:33:00;83;105;18
0:33:30;87;104;16
0:34:00;85;109;12
0:34:30;91;111;12
0:35:00;89;112;8
0:35:30;81;112;8
0:36:00;78;119;12
0:36:30;73;119;9
0:37:00;75;120;10
0:37:30;84;115;16
0:38:00;80;110;12
0:38:30;76;114;17
0:39:00;72;112;19
0:39:30;77;111;24
0:40:00;82;106;25
0:40:30;87;104;24
0:41:00;86;110;26
0:41:30;84;109;23
0:42:00;81;108;18
0:42:30;76;125;13
0:43:00;71;125;8
0:43:30;66;132;13
0:44:00;60;134;12
0:44:30;59;137;20
0:45:00;53;135;29
0:45:30;51;131;34
0:46:00;53;129;31
0:46:30;56;124;33
0:47:00;53;120;38
0:47:30;46;116;45
0:48:00;38;110;49
0:48:30;32;104;55
0:49:00;26;100;65
0:49:30;20;96;63
0:50:00;14;88;60
0:50:30;13;87;55
0:51:00;8;80;49
0:51:30;8;72;42
0:52:00;7;62;36
0:52:30;6;49;28
0:53:00;10;39;24
0:53:30;12;32;18
0:54:00;9;24;9
0:54:30;8;17;7
0:55:00;9;9;8
0:55:30;13;7;11
0:56:00;14;7;7
0:56:30;11;7;8
0:57:00;7;7;6
0:57:30;9;7;7
0:58:00;8;7;8
0:58:30;8;11;10
0:59:00;7;7;7
0:59:30;9;7;20
1:00:00;7;8;37
