# Time;1 Min;2 Min;3 Min
0:00:00;0;0;0
0:00:30;12;14;10
0:01:00;24;24;16
0:01:30;27;26;26
0:02:00;28;29;31
0:02:30;29;36;40
0:03:00;34;40;51
0:03:30;32;42;54
0:04:00;33;48;60
0:04:30;39;54;61
0:05:00;47;66;59
0:05:30;52;69;64
0:06:00;52;69;64
0:06:30;56;70;70
0:07:00;62;69;77
0:07:30;64;63;80
0:08:00;72;57;85
0:08:30;75;51;84
0:09:00;77;44;82
0:09:30;81;40;88
0:10:00;83;35;87
0:10:30;93;36;86
0:11:00;94;39;84
0:11:30;93;33;80
0:12:00;87;27;76
0:12:30;81;20;73
0:13:00;74;14;69
0:13:30;66;8;65
0:14:00;57;7;61
0:14:30;52;8;57
0:15:00;45;7;53
0:15:30;39;7;50
0:16:00;33;7;46
0:16:30;25;7;43
0:17:00;18;7;40
0:17:30;12;7;36
0:18:00;8;7;33
0:18:30;7;7;32
0:19:00;7;7;30
0:19:30;8;7;26
0:20:00;8;10;28
0:20:30;9;10;21
0:21:00;8;7;12
0:21:30;8;7;9
0:22:00;9;7;11
0:22:30;10;10;9
0:23:00;9;8;8
0:23:30;8;9;7
0:24:00;7;7;7
0:24:30;8;17;7
0:25:00;8;26;7
0:25:30;9;31;7
0:26:00;8;33;8
0:26:30;9;36;7
0:27:00;8;35;7
0:27:30;9;33;7
0:28:00;8;31;7
0:28:30;10;29;7
0:29:00;10;27;9
0:29:30;10;22;7
0:30:00;12;22;10
0:30:30;12;20;9
0:31:00;8;13;7
0:31:30;7;8;9
0:32:00;7;7;8
0:32:30;8;13;9
0:33:00;8;8;10
0:33:30;13;8;9
0:34:00;12;8;9
0:34:30;11;15;9
0:35:00;9;22;7
0:35:30;9;22;7
0:36:00;9;23;10
0:36:30;10;23;14
0:37:00;8;26;8
0:37:30;9;28;9
0:38:00;8;27;8
0:38:30;10;32;7
0:39:00;8;40;8
0:39:30;9;47;8
0:40:00;9;49;7
0:40:30;8;50;7
0:41:00;9;57;7
0:41:30;12;58;7
0:42:00;16;63;7
0:42:30;17;60;6
0:43:00;11;59;6
0:43:30;10;62;9
0:44:00;17;71;9
0:44:30;26;78;8
0:45:00;32;80;8
0:45:30;41;77;8
0:46:00;42;72;8
0:46:30;46;66;8
0:47:00;50;61;8
0:47:30;50;57;8
0:48:00;51;51;8
0:48:30;49;46;11
0:49:00;47;42;8
0:49:30;48;36;8
0:50:00;52;30;8
0:50:30;54;24;7
0:51:00;56;18;7
0:51:30;65;15;13
0:52:00;71;12;17
0:52:30;82;11;24
0:53:00;82;7;24
0:53:30;77;7;21
0:54:00;74;8;21
0:54:30;71;8;25
0:55:00;69;8;26
0:55:30;66;8;26
0:56:00;62;7;26
0:56:30;65;8;24
0:57:00;59;7;20
0:57:30;58;10;19
0:58:00;56;9;19
0:58:30;59;16;18
0:59:00;60;13;13
0:59:30;65;15;7
1:00:00;68;16;8
