# Time;1 Min;2 Min;3 Min
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;5;5;4
0:05:00;5;5;4
0:05:30;6;5;4
0:06:00;6;5;4
0:06:30;8;9;7
0:07:00;8;9;7
0:07:30;8;9;7
0:08:00;8;9;7
0:08:30;8;9;7
0:09:00;8;9;7
0:09:30;12;9;12
0:10:00;12;9;12
0:10:30;17;10;12
0:11:00;17;10;12
0:11:30;17;10;12
0:12:00;17;10;12
0:12:30;17;10;12
0:13:00;17;10;12
0:13:30;17;10;12
0:14:00;17;10;12
0:14:30;19;9;12
0:15:00;19;9;12
0:15:30;20;9;12
0:16:00;20;9;12
0:16:30;20;9;12
0:17:00;20;9;12
0:17:30;21;9;12
0:18:00;21;9;12
0:18:30;21;9;13
0:19:00;21;9;13
0:19:30;20;9;13
0:20:00;20;9;13
0:20:30;20;9;13
0:21:00;20;9;13
0:21:30;20;9;14
0:22:00;20;9;14
0:22:30;19;9;14
0:23:00;19;9;14
0:23:30;18;9;14
0:24:00;18;9;14
0:24:30;17;8;13
0:25:00;17;8;13
0:25:30;18;8;13
0:26:00;18;8;13
0:26:30;19;9;13
0:27:00;19;9;13
0:27:30;20;9;13
0:28:00;20;9;13
0:28:30;19;9;13
0:29:00;19;9;13
0:29:30;18;9;13
0:30:00;18;9;13
0:30:30;19;10;13
0:31:00;19;10;13
0:31:30;18;10;13
0:32:00;18;10;13
0:32:30;17;9;13
0:33:00;17;9;13
0:33:30;16;9;12
0:34:00;16;9;12
0:34:30;15;8;12
0:35:00;15;8;12
0:35:30;14;8;12
0:36:00;14;8;12
0:36:30;13;7;11
0:37:00;13;7;11
0:37:30;12;7;11
0:38:00;12;7;11
0:38:30;11;8;11
0:39:00;11;8;11
0:39:30;10;8;12
0:40:00;10;8;12
0:40:30;9;8;12
0:41:00;9;8;12
0:41:30;8;8;12
0:42:00;8;8;12
0:42:30;7;8;11
0:43:00;7;8;11
0:43:30;6;8;11
0:44:00;6;8;11
0:44:30;5;12;11
0:45:00;5;12;11
0:45:30;4;12;10
0:46:00;4;12;10
0:46:30;4;12;10
0:47:00;4;12;10
0:47:30;4;12;10
0:48:00;4;12;10
0:48:30;4;13;9
0:49:00;4;13;9
0:49:30;4;13;9
0:50:00;4;13;9
0:50:30;4;13;9
0:51:00;4;13;9
0:51:30;6;13;8
0:52:00;6;13;8
0:52:30;10;12;8
0:53:00;10;12;8
0:53:30;10;12;8
0:54:00;10;12;8
0:54:30;10;11;9
0:55:00;10;11;9
0:55:30;10;11;9
0:56:00;10;11;9
0:56:30;9;10;9
0:57:00;9;10;9
0:57:30;11;10;10
0:58:00;11;10;10
0:58:30;13;9;10
0:59:00;13;9;10
0:59:30;16;9;10
1:00:00;16;9;10
