# Time;5 Sec;10 Sec;15 Sec
0:00:00;0;0;0
0:00:30;5;4;5
0:01:00;4;4;4
0:01:30;5;4;4
0:02:00;5;4;5
0:02:30;5;4;5
0:03:00;4;4;4
0:03:30;5;4;4
0:04:00;4;4;4
0:04:30;6;4;4
0:05:00;8;10;7
0:05:30;13;9;9
0:06:00;13;9;10
0:06:30;13;11;11
0:07:00;15;13;10
0:07:30;23;14;10
0:08:00;23;16;12
0:08:30;23;24;22
0:09:00;23;29;27
0:09:30;28;36;34
0:10:00;30;37;36
0:10:30;37;41;43
0:11:00;42;40;46
0:11:30;51;48;51
0:12:00;56;51;56
0:12:30;58;57;58
0:13:00;67;59;65
0:13:30;76;62;71
0:14:00;86;68;77
0:14:30;93;76;88
0:15:00;96;86;93
0:15:30;102;87;100
0:16:00;105;90;105
0:16:30;112;104;113
0:17:00;109;102;110
0:17:30;104;96;104
0:18:00;98;89;99
0:18:30;91;81;93
0:19:00;84;73;84
0:19:30;81;63;76
0:20:00;77;56;69
0:20:30;92;59;72
0:21:00;91;61;75
0:21:30;94;68;85
0:22:00;97;69;85
0:22:30;97;74;88
0:23:00;96;74;88
0:23:30;102;79;90
0:24:00;101;75;87
0:24:30;96;72;84
0:25:00;92;68;81
0:25:30;91;64;84
0:26:00;91;59;84
0:26:30;94;55;84
0:27:00;95;60;85
0:27:30;96;58;85
0:28:00;97;59;89
0:28:30;92;61;86
0:29:00;86;58;89
0:29:30;81;57;90
0:30:00;74;53;90
0:30:30;69;54;86
0:31:00;64;54;88
0:31:30;64;51;92
0:32:00;59;48;91
0:32:30;52;46;91
0:33:00;46;42;89
0:33:30;41;41;86
0:34:00;36;37;83
0:34:30;31;36;84
0:35:00;32;32;83
0:35:30;27;25;81
0:36:00;21;17;80
0:36:30;16;15;79
0:37:00;10;16;74
0:37:30;13;16;81
0:38:00;12;13;80
0:38:30;11;13;79
0:39:00;9;9;76
0:39:30;11;8;76
0:40:00;9;8;72
0:40:30;8;8;67
0:41:00;8;7;64
0:41:30;8;8;61
0:42:00;8;8;55
0:42:30;8;8;50
0:43:00;8;9;44
0:43:30;8;16;43
0:44:00;8;11;39
0:44:30;8;8;33
0:45:00;8;10;28
0:45:30;14;17;23
0:46:00;9;17;20
0:46:30;9;16;16
0:47:00;10;10;19
0:47:30;12;7;16
0:48:00;8;7;13
0:48:30;9;8;10
0:49:00;8;8;9
0:49:30;7;7;8
0:50:00;7;7;8
0:50:30;7;8;11
0:51:00;7;7;8
0:51:30;7;7;8
0:52:00;6;7;7
0:52:30;6;7;7
0:53:00;7;9;9
0:53:30;9;14;11
0:54:00;7;10;8
0:54:30;7;8;8
0:55:00;7;8;8
0:55:30;7;11;9
0:56:00;7;11;8
0:56:30;8;7;8
0:57:00;6;7;10
0:57:30;8;8;8
0:58:00;11;7;9
0:58:30;9;7;8
0:59:00;8;7;9
0:59:30;10;7;8
1:00:00;7;7;8
