# Time;5 Min;10 Min;20 Min
0:00:00;0;0;0
0:00:30;46;15;10
0:01:00;59;21;14
0:01:30;68;30;16
0:02:00;76;35;18
0:02:30;94;36;25
0:03:00;102;37;35
0:03:30;109;40;43
0:04:00;112;46;54
0:04:30;123;56;54
0:05:00;130;64;55
0:05:30;131;66;61
0:06:00;138;69;62
0:06:30;145;72;63
0:07:00;151;73;62
0:07:30;156;73;60
0:08:00;161;78;57
0:08:30;179;83;55
0:09:00;181;89;51
0:09:30;187;91;55
0:10:00;193;91;54
0:10:30;190;88;60
0:11:00;184;86;56
0:11:30;177;91;53
0:12:00;170;96;50
0:12:30;163;99;49
0:13:00;156;100;47
0:13:30;148;102;44
0:14:00;141;103;41
0:14:30;133;108;38
0:15:00;125;114;36
0:15:30;117;117;37
0:16:00;109;115;41
0:16:30;102;115;43
0:17:00;94;117;42
0:17:30;87;119;40
0:18:00;79;123;42
0:18:30;72;126;40
0:19:00;65;131;37
0:19:30;61;133;36
0:20:00;57;143;32
0:20:30;47;139;31
0:21:00;39;133;30
0:21:30;33;131;31
0:22:00;37;132;30
0:22:30;36;133;30
0:23:00;35;136;30
0:23:30;32;136;25
0:24:00;29;137;18
0:24:30;27;143;13
0:25:00;23;143;8
0:25:30;19;147;7
0:26:00;16;147;7
0:26:30;14;146;7
0:27:00;12;145;7
0:27:30;10;166;7
0:28:00;8;169;7
0:28:30;14;166;8
0:29:00;24;166;11
0:29:30;29;169;10
0:30:00;30;169;11
0:30:30;25;170;11
0:31:00;20;169;7
0:31:30;15;162;8
0:32:00;13;155;7
0:32:30;8;159;7
0:33:00;11;154;9
0:33:30;9;150;13
0:34:00;8;150;12
0:34:30;8;147;8
0:35:00;7;148;8
0:35:30;8;144;8
0:36:00;10;138;9
0:36:30;11;140;14
0:37:00;9;141;11
0:37:30;9;143;11
0:38:00;9;142;7
0:38:30;9;145;9
0:39:00;7;151;8
0:39:30;7;161;8
0:40:00;7;155;7
0:40:30;7;149;7
0:41:00;7;142;7
0:41:30;7;136;7
0:42:00;6;129;7
0:42:30;7;121;6
0:43:00;7;112;6
0:43:30;12;102;7
0:44:00;10;96;9
0:44:30;9;90;8
0:45:00;8;84;8
0:45:30;8;81;8
0:46:00;8;77;9
0:46:30;8;73;18
0:47:00;9;69;24
0:47:30;10;67;33
0:48:00;9;67;31
0:48:30;14;65;30
0:49:00;14;62;30
0:49:30;15;62;31
0:50:00;9;61;30
0:50:30;8;57;30
0:51:00;7;56;28
0:51:30;7;55;28
0:52:00;7;53;26
0:52:30;7;53;28
0:53:00;6;49;26
0:53:30;9;45;20
0:54:00;8;37;13
0:54:30;8;31;8
0:55:00;8;25;8
0:55:30;8;27;9
0:56:00;7;23;8
0:56:30;8;20;9
0:57:00;8;12;7
0:57:30;8;7;8
0:58:00;9;7;11
0:58:30;8;7;20
0:59:00;8;7;20
0:59:30;14;10;30
1:00:00;15;13;40
