# Time;5 Min;10 Min;20 Min
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;7;4;4
0:02:00;7;4;4
0:02:30;6;4;5
0:03:00;6;4;5
0:03:30;6;4;6
0:04:00;6;4;6
0:04:30;5;4;6
0:05:00;5;4;6
0:05:30;5;4;6
0:06:00;5;4;6
0:06:30;5;4;9
0:07:00;5;4;9
0:07:30;5;4;9
0:08:00;5;4;9
0:08:30;18;7;9
0:09:00;18;7;9
0:09:30;18;7;8
0:10:00;18;7;8
0:10:30;18;7;7
0:11:00;18;7;7
0:11:30;18;6;7
0:12:00;18;6;7
0:12:30;18;6;7
0:13:00;18;6;7
0:13:30;18;5;7
0:14:00;18;5;7
0:14:30;18;5;7
0:15:00;18;5;7
0:15:30;18;5;7
0:16:00;18;4;7
0:16:30;18;4;7
0:17:00;18;4;7
0:17:30;18;4;7
0:18:00;18;4;7
0:18:30;18;4;7
0:19:00;18;4;7
0:19:30;21;4;7
0:20:00;21;4;7
0:20:30;21;4;8
0:21:00;21;4;8
0:21:30;21;4;9
0:22:00;21;4;9
0:22:30;21;4;10
0:23:00;21;4;10
0:23:30;21;4;11
0:24:00;21;4;11
0:24:30;21;4;12
0:25:00;21;4;12
0:25:30;21;4;12
0:26:00;21;4;12
0:26:30;21;4;12
0:27:00;21;4;12
0:27:30;21;15;12
0:28:00;21;15;12
0:28:30;20;15;12
0:29:00;20;15;12
0:29:30;20;15;12
0:30:00;20;15;12
0:30:30;20;15;12
0:31:00;20;15;12
0:31:30;20;15;12
0:32:00;20;15;12
0:32:30;19;24;12
0:33:00;19;24;12
0:33:30;18;23;13
0:34:00;18;23;13
0:34:30;18;24;13
0:35:00;18;24;13
0:35:30;18;24;13
0:36:00;18;24;13
0:36:30;18;24;12
0:37:00;18;24;12
0:37:30;18;23;13
0:38:00;18;23;13
0:38:30;18;22;14
0:39:00;18;22;14
0:39:30;18;21;15
0:40:00;18;21;15
0:40:30;18;20;14
0:41:00;18;20;14
0:41:30;19;19;13
0:42:00;19;19;13
0:42:30;20;18;12
0:43:00;20;18;12
0:43:30;21;18;11
0:44:00;21;18;11
0:44:30;22;18;10
0:45:00;22;18;10
0:45:30;22;23;9
0:46:00;22;23;9
0:46:30;21;24;8
0:47:00;21;24;8
0:47:30;20;23;7
0:48:00;20;23;7
0:48:30;19;23;8
0:49:00;19;23;8
0:49:30;18;24;9
0:50:00;18;24;9
0:50:30;17;23;10
0:51:00;17;23;10
0:51:30;16;23;11
0:52:00;16;23;11
0:52:30;15;23;12
0:53:00;15;23;12
0:53:30;14;23;13
0:54:00;14;23;13
0:54:30;13;24;13
0:55:00;13;24;13
0:55:30;12;23;12
0:56:00;12;23;12
0:56:30;11;22;11
0:57:00;11;22;11
0:57:30;10;22;10
0:58:00;10;22;10
0:58:30;9;22;9
0:59:00;9;22;9
0:59:30;8;22;8
1:00:00;8;22;8
