# Index;10th;Min;Max;90th;Average;Name
1;79,8;23;391;363,6;212,5166667;Static 4
2;88,6;27;340;311,3;189,35;Static 8
3;7;6;12;9;7,808333333;Static 12
4;7;6;16;11,1;8,4;Static 24
5;7;7;80;63;28,89166667;Q-Learning
6;7;6;84;75,1;22,95833333;Spark
7;7;7;88;61,1;27,3;OPO
