# Time;10 Sec;20 Sec;30 Sec
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;4;4;4
0:05:00;4;4;4
0:05:30;7;4;4
0:06:00;7;4;4
0:06:30;7;4;4
0:07:00;7;4;4
0:07:30;7;5;4
0:08:00;7;5;4
0:08:30;7;5;4
0:09:00;7;5;4
0:09:30;7;5;4
0:10:00;12;5;4
0:10:30;12;5;4
0:11:00;12;5;4
0:11:30;12;7;5
0:12:00;12;7;5
0:12:30;24;7;5
0:13:00;24;7;5
0:13:30;24;9;5
0:14:00;24;9;5
0:14:30;24;9;5
0:15:00;24;9;5
0:15:30;24;9;5
0:16:00;24;9;5
0:16:30;24;12;10
0:17:00;24;12;10
0:17:30;24;12;10
0:18:00;24;12;10
0:18:30;24;12;10
0:19:00;23;12;10
0:19:30;23;12;10
0:20:00;23;12;10
0:20:30;23;20;12
0:21:00;23;20;12
0:21:30;23;20;15
0:22:00;24;20;15
0:22:30;24;20;19
0:23:00;24;20;19
0:23:30;24;20;23
0:24:00;24;20;23
0:24:30;24;20;24
0:25:00;24;24;24
0:25:30;24;24;23
0:26:00;24;24;23
0:26:30;24;24;23
0:27:00;24;24;23
0:27:30;24;24;24
0:28:00;24;24;24
0:28:30;24;24;24
0:29:00;24;24;24
0:29:30;24;23;23
0:30:00;24;23;23
0:30:30;24;24;24
0:31:00;24;24;24
0:31:30;23;24;24
0:32:00;23;24;24
0:32:30;24;24;24
0:33:00;24;24;24
0:33:30;24;24;23
0:34:00;24;24;23
0:34:30;24;24;24
0:35:00;24;24;24
0:35:30;24;24;24
0:36:00;24;24;24
0:36:30;24;24;24
0:37:00;24;24;24
0:37:30;23;24;23
0:38:00;23;23;23
0:38:30;24;23;22
0:39:00;24;23;22
0:39:30;24;23;22
0:40:00;24;23;22
0:40:30;24;23;22
0:41:00;24;23;22
0:41:30;24;23;21
0:42:00;24;23;21
0:42:30;24;22;22
0:43:00;24;22;22
0:43:30;23;21;21
0:44:00;23;21;21
0:44:30;22;20;20
0:45:00;22;20;20
0:45:30;21;19;19
0:46:00;21;19;19
0:46:30;20;18;18
0:47:00;20;18;18
0:47:30;21;17;18
0:48:00;21;17;18
0:48:30;22;16;18
0:49:00;22;16;18
0:49:30;21;15;17
0:50:00;21;15;17
0:50:30;20;14;16
0:51:00;20;14;16
0:51:30;21;13;15
0:52:00;21;13;15
0:52:30;22;13;14
0:53:00;22;13;14
0:53:30;21;13;13
0:54:00;21;13;13
0:54:30;20;13;12
0:55:00;20;13;12
0:55:30;19;13;13
0:56:00;19;12;13
0:56:30;19;12;12
0:57:00;19;12;12
0:57:30;19;12;11
0:58:00;19;12;11
0:58:30;18;12;10
0:59:00;18;12;10
0:59:30;18;12;9
1:00:00;18;12;9
