# Time;10 Sec;20 Sec;30 Sec
0:00:00;0;0;0
0:00:30;4;5;4
0:01:00;4;4;4
0:01:30;4;5;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;5;4;4
0:04:00;5;4;4
0:04:30;5;4;4
0:05:00;8;10;10
0:05:30;11;15;9
0:06:00;12;14;9
0:06:30;15;14;11
0:07:00;19;20;13
0:07:30;17;25;14
0:08:00;17;27;16
0:08:30;23;29;24
0:09:00;25;31;29
0:09:30;30;32;36
0:10:00;33;34;37
0:10:30;35;31;41
0:11:00;39;35;40
0:11:30;40;42;48
0:12:00;40;46;51
0:12:30;45;57;57
0:13:00;45;62;59
0:13:30;44;59;62
0:14:00;43;56;68
0:14:30;42;54;76
0:15:00;41;50;86
0:15:30;40;45;87
0:16:00;40;40;90
0:16:30;40;42;104
0:17:00;40;49;102
0:17:30;39;50;96
0:18:00;38;52;89
0:18:30;40;60;81
0:19:00;40;64;73
0:19:30;41;64;63
0:20:00;42;63;56
0:20:30;40;64;59
0:21:00;42;62;61
0:21:30;43;65;68
0:22:00;45;70;69
0:22:30;40;68;74
0:23:00;38;64;74
0:23:30;36;65;79
0:24:00;35;63;75
0:24:30;31;59;72
0:25:00;30;63;68
0:25:30;28;61;64
0:26:00;27;59;59
0:26:30;25;55;55
0:27:00;24;52;60
0:27:30;24;51;58
0:28:00;22;49;59
0:28:30;22;46;61
0:29:00;22;41;58
0:29:30;17;36;57
0:30:00;11;36;53
0:30:30;7;34;54
0:31:00;12;33;54
0:31:30;16;31;51
0:32:00;15;29;48
0:32:30;13;26;46
0:33:00;9;23;42
0:33:30;8;20;41
0:34:00;8;17;37
0:34:30;9;15;36
0:35:00;8;14;32
0:35:30;8;12;25
0:36:00;8;11;17
0:36:30;11;9;15
0:37:00;10;8;16
0:37:30;10;9;16
0:38:00;9;8;13
0:38:30;9;8;13
0:39:00;10;6;9
0:39:30;11;7;8
0:40:00;9;8;8
0:40:30;8;8;8
0:41:00;10;9;7
0:41:30;8;8;8
0:42:00;9;8;8
0:42:30;8;8;8
0:43:00;8;8;9
0:43:30;9;8;16
0:44:00;8;8;11
0:44:30;8;9;8
0:45:00;8;8;10
0:45:30;9;10;17
0:46:00;9;10;17
0:46:30;9;8;16
0:47:00;11;9;10
0:47:30;8;9;7
0:48:00;8;7;7
0:48:30;8;8;8
0:49:00;8;7;8
0:49:30;8;8;7
0:50:00;8;7;7
0:50:30;8;7;8
0:51:00;7;7;7
0:51:30;9;7;7
0:52:00;7;7;7
0:52:30;7;7;7
0:53:00;8;7;9
0:53:30;10;9;14
0:54:00;8;7;10
0:54:30;8;8;8
0:55:00;8;8;8
0:55:30;8;10;11
0:56:00;8;8;11
0:56:30;8;9;7
0:57:00;8;8;7
0:57:30;8;9;8
0:58:00;9;8;7
0:58:30;9;8;7
0:59:00;8;8;7
0:59:30;8;9;7
1:00:00;7;9;7
