# Time;1 Min;2 Min;3 Min
0:00:00;0;0;0
0:00:30;4;4;5
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;5;4;4
0:02:30;4;4;4
0:03:00;5;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;5;4;5
0:05:00;10;10;9
0:05:30;15;9;12
0:06:00;18;9;11
0:06:30;24;11;11
0:07:00;28;13;10
0:07:30;34;14;13
0:08:00;34;16;17
0:08:30;36;24;23
0:09:00;35;29;25
0:09:30;35;36;23
0:10:00;36;37;24
0:10:30;37;41;32
0:11:00;43;40;37
0:11:30;50;48;40
0:12:00;54;51;41
0:12:30;55;57;43
0:13:00;60;59;41
0:13:30;66;62;41
0:14:00;65;68;45
0:14:30;65;76;49
0:15:00;66;86;54
0:15:30;68;87;55
0:16:00;67;90;56
0:16:30;72;104;61
0:17:00;77;102;70
0:17:30;85;96;76
0:18:00;94;89;82
0:18:30;97;81;83
0:19:00;99;73;86
0:19:30;104;63;95
0:20:00;101;56;96
0:20:30;104;59;104
0:21:00;104;61;104
0:21:30;103;68;113
0:22:00;101;69;117
0:22:30;108;74;120
0:23:00;107;74;116
0:23:30;112;79;114
0:24:00;112;75;108
0:24:30;118;72;103
0:25:00;117;68;100
0:25:30;116;64;100
0:26:00;114;59;95
0:26:30;116;55;90
0:27:00;121;60;96
0:27:30;117;58;98
0:28:00;117;59;96
0:28:30;119;61;93
0:29:00;117;58;97
0:29:30;118;57;97
0:30:00;116;53;93
0:30:30;112;54;86
0:31:00;111;54;84
0:31:30;107;51;81
0:32:00;108;48;76
0:32:30;101;46;70
0:33:00;94;42;63
0:33:30;88;41;57
0:34:00;81;37;52
0:34:30;80;36;53
0:35:00;78;32;49
0:35:30;78;25;43
0:36:00;74;17;37
0:36:30;71;15;35
0:37:00;67;16;31
0:37:30;65;16;32
0:38:00;59;13;26
0:38:30;53;13;21
0:39:00;53;9;15
0:39:30;56;8;11
0:40:00;58;8;7
0:40:30;59;8;11
0:41:00;58;7;9
0:41:30;61;8;8
0:42:00;62;8;8
0:42:30;57;8;7
0:43:00;52;9;8
0:43:30;45;16;7
0:44:00;39;11;7
0:44:30;34;8;8
0:45:00;27;10;8
0:45:30;22;17;9
0:46:00;17;17;8
0:46:30;14;16;10
0:47:00;6;10;9
0:47:30;7;7;9
0:48:00;7;7;8
0:48:30;7;8;9
0:49:00;7;8;9
0:49:30;7;7;9
0:50:00;7;7;8
0:50:30;7;8;9
0:51:00;6;7;8
0:51:30;7;7;7
0:52:00;7;7;6
0:52:30;11;7;7
0:53:00;8;9;8
0:53:30;9;14;8
0:54:00;8;10;7
0:54:30;8;8;8
0:55:00;8;8;7
0:55:30;8;11;7
0:56:00;8;11;8
0:56:30;9;7;10
0:57:00;7;7;10
0:57:30;7;8;9
0:58:00;7;7;8
0:58:30;8;7;8
0:59:00;11;7;7
0:59:30;9;7;7
1:00:00;7;7;7
