#Time;Optimized;Zero;Random
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;5;4
0:03:00;4;5;4
0:03:30;4;5;5
0:04:00;4;5;5
0:04:30;5;6;6
0:05:00;5;6;6
0:05:30;6;6;6
0:06:00;6;6;6
0:06:30;7;6;6
0:07:00;7;6;6
0:07:30;7;6;7
0:08:00;7;6;7
0:08:30;8;6;7
0:09:00;8;6;7
0:09:30;9;6;7
0:10:00;9;6;7
0:10:30;9;6;7
0:11:00;9;6;7
0:11:30;10;7;6
0:12:00;10;7;6
0:12:30;10;7;5
0:13:00;10;7;5
0:13:30;10;7;6
0:14:00;10;7;6
0:14:30;11;7;7
0:15:00;11;7;7
0:15:30;12;7;7
0:16:00;12;7;7
0:16:30;12;7;8
0:17:00;12;7;8
0:17:30;13;8;7
0:18:00;13;8;7
0:18:30;12;9;8
0:19:00;12;9;8
0:19:30;11;8;8
0:20:00;11;8;8
0:20:30;11;9;7
0:21:00;11;9;7
0:21:30;11;9;6
0:22:00;11;9;6
0:22:30;10;10;6
0:23:00;10;10;6
0:23:30;9;11;6
0:24:00;9;11;6
0:24:30;10;12;6
0:25:00;10;12;6
0:25:30;11;11;6
0:26:00;11;11;6
0:26:30;12;12;6
0:27:00;12;12;6
0:27:30;13;11;7
0:28:00;13;11;7
0:28:30;12;10;8
0:29:00;12;10;8
0:29:30;12;9;8
0:30:00;12;9;8
0:30:30;12;9;8
0:31:00;12;9;8
0:31:30;11;8;8
0:32:00;11;8;8
0:32:30;10;8;8
0:33:00;10;8;8
0:33:30;9;8;8
0:34:00;9;8;8
0:34:30;8;8;8
0:35:00;8;8;8
0:35:30;7;8;8
0:36:00;7;8;8
0:36:30;8;8;8
0:37:00;8;8;8
0:37:30;9;8;9
0:38:00;9;8;9
0:38:30;9;8;9
0:39:00;9;8;9
0:39:30;10;8;9
0:40:00;10;8;9
0:40:30;10;8;9
0:41:00;10;8;9
0:41:30;10;7;10
0:42:00;10;7;10
0:42:30;10;7;11
0:43:00;10;7;11
0:43:30;9;7;12
0:44:00;9;7;12
0:44:30;8;7;11
0:45:00;8;7;11
0:45:30;7;7;10
0:46:00;7;7;10
0:46:30;7;7;10
0:47:00;7;7;10
0:47:30;8;7;9
0:48:00;8;7;9
0:48:30;9;7;9
0:49:00;9;7;9
0:49:30;10;8;9
0:50:00;10;8;9
0:50:30;11;9;9
0:51:00;11;9;9
0:51:30;12;8;9
0:52:00;12;8;9
0:52:30;13;8;9
0:53:00;13;8;9
0:53:30;13;8;8
0:54:00;13;8;8
0:54:30;14;8;8
0:55:00;14;8;8
0:55:30;15;8;8
0:56:00;15;8;8
0:56:30;16;8;8
0:57:00;16;8;8
0:57:30;17;7;8
0:58:00;17;7;8
0:58:30;17;6;8
0:59:00;17;6;8
0:59:30;16;6;8
1:00:00;16;6;8
