# Time;Optimized;Zero;Random
0:00:00;0;0;0
0:00:30;38;18;23
0:01:00;39;26;29
0:01:30;47;33;29
0:02:00;55;40;34
0:02:30;60;53;44
0:03:00;57;63;46
0:03:30;59;70;53
0:04:00;61;76;62
0:04:30;70;92;71
0:05:00;82;97;80
0:05:30;90;97;89
0:06:00;95;97;94
0:06:30;97;98;103
0:07:00;102;106;106
0:07:30;103;111;116
0:08:00;100;110;122
0:08:30;104;108;123
0:09:00;108;106;121
0:09:30;109;102;121
0:10:00;103;97;116
0:10:30;95;92;111
0:11:00;88;89;108
0:11:30;83;88;112
0:12:00;77;87;113
0:12:30;70;84;121
0:13:00;63;81;124
0:13:30;55;80;135
0:14:00;48;78;141
0:14:30;45;76;146
0:15:00;40;74;150
0:15:30;36;72;152
0:16:00;31;70;153
0:16:30;26;67;160
0:17:00;20;65;169
0:17:30;15;68;178
0:18:00;9;73;178
0:18:30;8;77;182
0:19:00;8;79;192
0:19:30;9;91;196
0:20:00;7;96;197
0:20:30;7;99;201
0:21:00;8;97;198
0:21:30;7;95;202
0:22:00;8;93;201
0:22:30;8;96;199
0:23:00;7;96;197
0:23:30;8;91;195
0:24:00;7;86;194
0:24:30;8;78;194
0:25:00;8;70;196
0:25:30;9;69;194
0:26:00;8;62;192
0:26:30;8;55;193
0:27:00;8;47;193
0:27:30;8;46;197
0:28:00;7;38;201
0:28:30;12;39;206
0:29:00;13;46;214
0:29:30;11;54;219
0:30:00;10;54;224
0:30:30;11;50;228
0:31:00;8;43;227
0:31:30;10;57;225
0:32:00;7;61;225
0:32:30;7;67;228
0:33:00;8;69;228
0:33:30;8;72;226
0:34:00;11;76;226
0:34:30;21;79;227
0:35:00;21;84;225
0:35:30;27;88;228
0:36:00;27;91;232
0:36:30;27;94;232
0:37:00;31;97;228
0:37:30;35;100;227
0:38:00;33;102;229
0:38:30;31;109;229
0:39:00;26;111;225
0:39:30;26;110;220
0:40:00;24;109;213
0:40:30;20;112;208
0:41:00;16;119;202
0:41:30;12;133;197
0:42:00;7;134;190
0:42:30;7;128;186
0:43:00;7;125;178
0:43:30;8;122;173
0:44:00;8;120;168
0:44:30;12;120;166
0:45:00;18;118;160
0:45:30;29;116;157
0:46:00;38;114;152
0:46:30;40;112;144
0:47:00;40;109;138
0:47:30;47;108;138
0:48:00;51;105;133
0:48:30;53;104;130
0:49:00;51;104;126
0:49:30;49;109;124
0:50:00;47;113;118
0:50:30;46;120;112
0:51:00;45;120;109
0:51:30;47;126;111
0:52:00;44;128;108
0:52:30;41;135;106
0:53:00;35;143;103
0:53:30;36;145;107
0:54:00;32;148;112
0:54:30;30;150;113
0:55:00;26;155;118
0:55:30;29;158;125
0:56:00;26;160;132
0:56:30;20;167;132
0:57:00;12;170;130
0:57:30;8;178;129
0:58:00;8;183;136
0:58:30;11;186;142
0:59:00;9;190;148
0:59:30;8;190;148
1:00:00;8;194;158
