# Time;10 Sec;20 Sec;30 Sec
0:00:00;0;0;0
0:00:30;15;22;23
0:01:00;21;25;27
0:01:30;24;29;32
0:02:00;28;34;35
0:02:30;31;37;40
0:03:00;29;41;44
0:03:30;29;50;50
0:04:00;28;56;55
0:04:30;34;64;69
0:05:00;36;65;78
0:05:30;46;72;84
0:06:00;47;77;83
0:06:30;48;85;87
0:07:00;48;86;87
0:07:30;48;82;88
0:08:00;47;76;87
0:08:30;46;71;89
0:09:00;46;68;85
0:09:30;45;63;86
0:10:00;45;60;84
0:10:30;42;60;83
0:11:00;42;59;81
0:11:30;41;58;75
0:12:00;40;56;70
0:12:30;36;56;64
0:13:00;32;56;56
0:13:30;29;50;52
0:14:00;24;48;48
0:14:30;16;43;40
0:15:00;8;37;33
0:15:30;8;30;25
0:16:00;7;26;17
0:16:30;8;20;9
0:17:00;7;14;7
0:17:30;7;14;7
0:18:00;7;13;7
0:18:30;6;11;7
0:19:00;6;9;7
0:19:30;7;7;7
0:20:00;8;8;15
0:20:30;9;8;17
0:21:00;9;7;13
0:21:30;8;8;9
0:22:00;8;7;9
0:22:30;8;10;13
0:23:00;8;7;10
0:23:30;8;8;16
0:24:00;7;7;12
0:24:30;7;9;10
0:25:00;10;8;8
0:25:30;9;9;8
0:26:00;9;8;8
0:26:30;8;9;8
0:27:00;7;8;8
0:27:30;7;8;8
0:28:00;7;8;8
0:28:30;8;11;12
0:29:00;9;12;14
0:29:30;10;18;20
0:30:00;10;19;23
0:30:30;9;21;23
0:31:00;9;17;16
0:31:30;9;12;14
0:32:00;8;8;10
0:32:30;9;9;8
0:33:00;9;8;9
0:33:30;8;10;8
0:34:00;8;8;8
0:34:30;8;7;9
0:35:00;8;7;7
0:35:30;8;7;8
0:36:00;9;10;10
0:36:30;10;11;12
0:37:00;10;10;9
0:37:30;9;9;9
0:38:00;8;9;10
0:38:30;9;8;9
0:39:00;9;9;11
0:39:30;8;8;9
0:40:00;7;8;8
0:40:30;8;8;8
0:41:00;7;8;8
0:41:30;10;8;9
0:42:00;9;7;7
0:42:30;8;7;6
0:43:00;7;7;6
0:43:30;8;10;10
0:44:00;8;8;7
0:44:30;9;7;9
0:45:00;9;7;8
0:45:30;10;8;8
0:46:00;9;7;8
0:46:30;8;7;8
0:47:00;8;7;11
0:47:30;8;8;12
0:48:00;7;7;8
0:48:30;8;8;8
0:49:00;7;8;9
0:49:30;8;13;9
0:50:00;7;9;10
0:50:30;8;10;9
0:51:00;8;11;8
0:51:30;8;10;12
0:52:00;7;12;23
0:52:30;8;11;37
0:53:00;8;12;43
0:53:30;7;14;53
0:54:00;7;18;62
0:54:30;7;20;69
0:55:00;8;20;68
0:55:30;9;22;65
0:56:00;7;24;60
0:56:30;7;23;54
0:57:00;7;17;48
0:57:30;9;11;47
0:58:00;10;8;44
0:58:30;11;10;45
0:59:00;8;10;43
0:59:30;8;7;38
1:00:00;8;10;32
