# Time;10 Sec;20 Sec;30 Sec
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;5;4;4
0:01:30;5;4;4
0:02:00;5;4;4
0:02:30;5;4;4
0:03:00;6;4;4
0:03:30;6;4;4
0:04:00;7;4;4
0:04:30;7;9;6
0:05:00;9;9;6
0:05:30;9;9;10
0:06:00;10;9;10
0:06:30;10;10;15
0:07:00;12;10;15
0:07:30;12;12;20
0:08:00;12;12;20
0:08:30;12;24;24
0:09:00;19;24;24
0:09:30;19;24;24
0:10:00;19;24;24
0:10:30;19;24;24
0:11:00;19;24;24
0:11:30;19;24;24
0:12:00;24;24;24
0:12:30;24;24;24
0:13:00;24;24;24
0:13:30;24;24;24
0:14:00;24;24;24
0:14:30;24;24;24
0:15:00;24;24;24
0:15:30;23;24;24
0:16:00;23;24;24
0:16:30;23;24;24
0:17:00;22;24;24
0:17:30;22;24;24
0:18:00;22;24;24
0:18:30;22;24;24
0:19:00;22;24;24
0:19:30;22;24;24
0:20:00;22;24;24
0:20:30;22;24;24
0:21:00;22;24;24
0:21:30;22;24;24
0:22:00;22;23;24
0:22:30;22;23;23
0:23:00;22;23;23
0:23:30;22;23;22
0:24:00;22;23;22
0:24:30;23;22;21
0:25:00;23;22;21
0:25:30;23;20;20
0:26:00;23;20;20
0:26:30;23;20;20
0:27:00;23;20;20
0:27:30;22;22;20
0:28:00;22;22;20
0:28:30;22;23;19
0:29:00;22;22;19
0:29:30;21;22;18
0:30:00;21;21;18
0:30:30;21;21;18
0:31:00;21;21;18
0:31:30;21;21;18
0:32:00;21;21;18
0:32:30;22;21;17
0:33:00;22;22;17
0:33:30;23;22;16
0:34:00;23;22;16
0:34:30;22;22;15
0:35:00;22;22;15
0:35:30;21;21;14
0:36:00;21;21;14
0:36:30;20;20;13
0:37:00;20;20;13
0:37:30;20;20;14
0:38:00;20;20;14
0:38:30;20;20;14
0:39:00;20;20;14
0:39:30;20;20;14
0:40:00;20;20;14
0:40:30;21;19;13
0:41:00;21;19;13
0:41:30;20;18;12
0:42:00;20;18;12
0:42:30;19;17;13
0:43:00;19;17;13
0:43:30;19;16;14
0:44:00;19;16;14
0:44:30;19;15;15
0:45:00;19;15;15
0:45:30;18;14;14
0:46:00;18;14;14
0:46:30;19;13;13
0:47:00;19;13;13
0:47:30;20;12;12
0:48:00;20;12;12
0:48:30;19;11;11
0:49:00;19;11;11
0:49:30;18;10;10
0:50:00;18;10;10
0:50:30;17;10;9
0:51:00;17;10;9
0:51:30;16;10;8
0:52:00;16;10;8
0:52:30;15;10;7
0:53:00;15;10;7
0:53:30;14;10;6
0:54:00;14;10;6
0:54:30;14;10;9
0:55:00;14;10;9
0:55:30;13;12;9
0:56:00;13;12;9
0:56:30;12;13;9
0:57:00;12;13;9
0:57:30;12;13;10
0:58:00;12;13;10
0:58:30;12;14;11
0:59:00;12;14;11
0:59:30;12;14;12
1:00:00;12;14;12
