# Time;1 Min;2 Min;3 Min
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;6;5;6
0:05:00;6;5;6
0:05:30;10;6;10
0:06:00;10;6;10
0:06:30;15;8;15
0:07:00;15;8;15
0:07:30;15;8;20
0:08:00;15;8;20
0:08:30;15;8;24
0:09:00;15;8;24
0:09:30;19;12;24
0:10:00;19;12;24
0:10:30;19;17;24
0:11:00;19;17;24
0:11:30;19;17;24
0:12:00;19;17;24
0:12:30;19;17;24
0:13:00;19;17;24
0:13:30;19;17;24
0:14:00;19;17;24
0:14:30;19;19;24
0:15:00;19;19;24
0:15:30;19;20;24
0:16:00;19;20;24
0:16:30;19;20;24
0:17:00;19;20;24
0:17:30;20;21;24
0:18:00;20;21;24
0:18:30;21;21;24
0:19:00;21;21;24
0:19:30;20;20;24
0:20:00;20;20;24
0:20:30;20;20;24
0:21:00;20;20;24
0:21:30;20;20;24
0:22:00;20;20;24
0:22:30;19;19;23
0:23:00;19;19;23
0:23:30;18;18;22
0:24:00;18;18;22
0:24:30;18;17;21
0:25:00;18;17;21
0:25:30;18;18;20
0:26:00;18;18;20
0:26:30;18;19;20
0:27:00;18;19;20
0:27:30;17;20;20
0:28:00;17;20;20
0:28:30;16;19;19
0:29:00;16;19;19
0:29:30;16;18;18
0:30:00;16;18;18
0:30:30;15;19;18
0:31:00;15;19;18
0:31:30;14;18;18
0:32:00;14;18;18
0:32:30;13;17;17
0:33:00;13;17;17
0:33:30;12;16;16
0:34:00;12;16;16
0:34:30;11;15;15
0:35:00;11;15;15
0:35:30;11;14;14
0:36:00;11;14;14
0:36:30;11;13;13
0:37:00;11;13;13
0:37:30;11;12;14
0:38:00;11;12;14
0:38:30;11;11;14
0:39:00;11;11;14
0:39:30;10;10;14
0:40:00;10;10;14
0:40:30;9;9;13
0:41:00;9;9;13
0:41:30;8;8;12
0:42:00;8;8;12
0:42:30;8;7;13
0:43:00;8;7;13
0:43:30;8;6;14
0:44:00;8;6;14
0:44:30;7;5;15
0:45:00;7;5;15
0:45:30;7;4;14
0:46:00;7;4;14
0:46:30;7;4;13
0:47:00;7;4;13
0:47:30;8;4;12
0:48:00;8;4;12
0:48:30;10;4;11
0:49:00;10;4;11
0:49:30;10;4;10
0:50:00;10;4;10
0:50:30;10;4;9
0:51:00;10;4;9
0:51:30;10;6;8
0:52:00;10;6;8
0:52:30;10;10;7
0:53:00;10;10;7
0:53:30;12;10;6
0:54:00;12;10;6
0:54:30;13;10;9
0:55:00;13;10;9
0:55:30;14;10;9
0:56:00;14;10;9
0:56:30;15;9;9
0:57:00;15;9;9
0:57:30;16;11;10
0:58:00;16;11;10
0:58:30;18;13;11
0:59:00;18;13;11
0:59:30;18;16;12
1:00:00;18;16;12
