# Time;Optimized;Zero;Random
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;5
0:02:00;4;4;5
0:02:30;4;5;5
0:03:00;4;5;5
0:03:30;4;5;5
0:04:00;4;5;5
0:04:30;4;6;6
0:05:00;4;6;6
0:05:30;4;6;6
0:06:00;4;6;6
0:06:30;4;6;5
0:07:00;4;6;5
0:07:30;4;6;5
0:08:00;4;6;5
0:08:30;4;6;4
0:09:00;4;6;4
0:09:30;4;6;5
0:10:00;4;6;5
0:10:30;4;6;6
0:11:00;4;6;6
0:11:30;5;6;6
0:12:00;5;6;6
0:12:30;5;6;7
0:13:00;5;6;7
0:13:30;5;6;8
0:14:00;5;6;8
0:14:30;5;6;9
0:15:00;5;6;9
0:15:30;5;6;10
0:16:00;5;6;10
0:16:30;6;6;10
0:17:00;6;6;10
0:17:30;6;7;11
0:18:00;6;7;11
0:18:30;6;7;12
0:19:00;6;7;12
0:19:30;7;6;12
0:20:00;7;6;12
0:20:30;8;6;13
0:21:00;8;6;13
0:21:30;9;6;13
0:22:00;9;6;13
0:22:30;9;6;13
0:23:00;9;6;13
0:23:30;9;6;13
0:24:00;9;6;13
0:24:30;9;6;13
0:25:00;9;6;13
0:25:30;9;5;13
0:26:00;9;5;13
0:26:30;9;6;12
0:27:00;9;6;12
0:27:30;10;5;11
0:28:00;10;5;11
0:28:30;11;5;12
0:29:00;11;5;12
0:29:30;12;4;12
0:30:00;12;4;12
0:30:30;12;4;12
0:31:00;12;4;12
0:31:30;12;5;12
0:32:00;12;5;12
0:32:30;12;5;11
0:33:00;12;5;11
0:33:30;13;5;11
0:34:00;13;5;11
0:34:30;13;5;11
0:35:00;13;5;11
0:35:30;14;5;10
0:36:00;14;5;10
0:36:30;15;5;10
0:37:00;15;5;10
0:37:30;16;5;11
0:38:00;16;5;11
0:38:30;17;5;12
0:39:00;17;5;12
0:39:30;18;5;13
0:40:00;18;5;13
0:40:30;19;5;12
0:41:00;19;5;12
0:41:30;20;4;13
0:42:00;20;4;13
0:42:30;21;4;14
0:43:00;21;4;14
0:43:30;20;4;15
0:44:00;20;4;15
0:44:30;19;4;16
0:45:00;19;4;16
0:45:30;18;4;17
0:46:00;18;4;17
0:46:30;17;4;16
0:47:00;17;4;16
0:47:30;17;4;15
0:48:00;17;4;15
0:48:30;17;4;14
0:49:00;17;4;14
0:49:30;16;5;13
0:50:00;16;5;13
0:50:30;15;6;12
0:51:00;15;6;12
0:51:30;15;5;11
0:52:00;15;5;11
0:52:30;15;5;10
0:53:00;15;5;10
0:53:30;14;5;9
0:54:00;14;5;9
0:54:30;13;5;8
0:55:00;13;5;8
0:55:30;12;5;7
0:56:00;12;5;7
0:56:30;12;5;6
0:57:00;12;5;6
0:57:30;11;4;5
0:58:00;11;4;5
0:58:30;12;5;4
0:59:00;12;5;4
0:59:30;13;5;5
1:00:00;13;5;5
